,0,1,2,3,4,5,6,7,8,9,10,11
38,54.105,53.475,51.3825,49.4975,49.0775,48.8525,50.05,50.325,49.905,50.255,50.79,50.865
39,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0,146189780.0,111533460.0
40,52.1075,51.005,48.335,49.25,49.76,50.8575,50.2475,50.12,52.2425,50.6875,50.435,51.625
41,54.5075,51.6075,49.66225,49.51675,49.89,50.8825,50.69,50.5129,53.035,51.61,51.285,51.79
42,51.685875,50.4075,48.145,48.51,48.455,49.8475,49.8225,49.7875,50.2075,50.646725,49.9175,50.96
43,53.475,51.3825,49.4975,49.0775,48.8525,50.05,50.325,49.905,50.255,50.79,50.865,51.07
44,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0,146189780.0,111533460.0,115254500.0
45,51.005,48.335,49.25,49.76,50.8575,50.2475,50.12,52.2425,50.6875,50.435,51.625,52.5875
46,51.6075,49.66225,49.51675,49.89,50.8825,50.69,50.5129,53.035,51.61,51.285,51.79,53.182674
47,50.4075,48.145,48.51,48.455,49.8475,49.8225,49.7875,50.2075,50.646725,49.9175,50.96,52.50625
48,51.3825,49.4975,49.0775,48.8525,50.05,50.325,49.905,50.255,50.79,50.865,51.07,52.655
49,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0,146189780.0,111533460.0,115254500.0,97727660.0
50,48.335,49.25,49.76,50.8575,50.2475,50.12,52.2425,50.6875,50.435,51.625,52.5875,52.59
51,49.66225,49.51675,49.89,50.8825,50.69,50.5129,53.035,51.61,51.285,51.79,53.182674,53.3375
52,48.145,48.51,48.455,49.8475,49.8225,49.7875,50.2075,50.646725,49.9175,50.96,52.50625,52.58
53,49.4975,49.0775,48.8525,50.05,50.325,49.905,50.255,50.79,50.865,51.07,52.655,52.72
54,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0,146189780.0,111533460.0,115254500.0,97727660.0,107678110.0
55,49.25,49.76,50.8575,50.2475,50.12,52.2425,50.6875,50.435,51.625,52.5875,52.59,53.16
56,49.51675,49.89,50.8825,50.69,50.5129,53.035,51.61,51.285,51.79,53.182674,53.3375,53.4125
57,48.51,48.455,49.8475,49.8225,49.7875,50.2075,50.646725,49.9175,50.96,52.50625,52.58,52.9008
58,49.0775,48.8525,50.05,50.325,49.905,50.255,50.79,50.865,51.07,52.655,52.72,53.2475
59,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0,146189780.0,111533460.0,115254500.0,97727660.0,107678110.0,86258990.0
60,49.76,50.8575,50.2475,50.12,52.2425,50.6875,50.435,51.625,52.5875,52.59,53.16,53.115
61,49.89,50.8825,50.69,50.5129,53.035,51.61,51.285,51.79,53.182674,53.3375,53.4125,53.60875
62,48.455,49.8475,49.8225,49.7875,50.2075,50.646725,49.9175,50.96,52.50625,52.58,52.9008,52.6875
63,48.8525,50.05,50.325,49.905,50.255,50.79,50.865,51.07,52.655,52.72,53.2475,53.2975
64,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0,146189780.0,111533460.0,115254500.0,97727660.0,107678110.0,86258990.0,89071280.0
65,50.8575,50.2475,50.12,52.2425,50.6875,50.435,51.625,52.5875,52.59,53.16,53.115,50.66
66,50.8825,50.69,50.5129,53.035,51.61,51.285,51.79,53.182674,53.3375,53.4125,53.60875,53.01275
